,Brewery,brewery_id,review_overall,latitude,longitude,google_rating
387,Blue Cat Brew Pub,4237,3.58,41.51173,-90.5743475,4.3
388,Blue Corn Brewery,2436,3.82,35.6386229,-106.0154819,4
389,Blue Corn Cafe and Brewery,2434,4.12,35.6386229,-106.0154819,4
390,Blue Heron BrewPub,12502,3.79,44.6595428,-90.1793849,4.3
391,Blue Heron Brewing Company,24829,3.56,35.99009420000001,-106.0807325,4.2
392,Blue Hills Brewery,19213,3.49,42.2158315,-71.1190756,4.2
394,Blue Lab Brewing Company,27241,2.25,37.7828337,-79.44336919999999,3.6
396,Blue Mountain Brewery,16352,3.97,38.016134,-78.821844,4.5
397,Blue Pants Brewery LLC,23966,3.89,34.684948,-86.73853,4.3
398,Blue Point Brewing Company,764,3.8,40.7592287,-73.02158829999999,4.5
399,Blue Star Brewing Company,2101,3.62,29.409524,-98.495312,4
401,Boak Beverage,16792,3.47,41.0038165,-74.29199650000001,3.5
406,Bohemian Brewery,1949,3.97,40.6203847,-111.888257,4.6
407,Bold City Brewery,17284,3.72,30.318992,-81.6954356,4.8
409,Bomb Beer Company,25889,3.17,39.800358,-89.6503704,4.8
410,Bonaventure Brewing,1012,3.42,34.0525714,-118.2560081,3.5
413,Boneyard Beer Company,23066,4.23,44.0906834,-121.2935858,5
420,Boston Breweries,3173,4.5,42.3146488,-71.1029118,4.7
421,Boulder Creek Brewing,980,3.0,37.1529195,-122.1336714,4.6
425,Boylan Bridge Brewpub,19314,3.72,35.7781498,-78.6491685,3.8
428,Bozeman Brewing Company,3820,3.75,45.6846267,-111.0239183,4.6
431,Brainerd Lakes Brewery,20657,3.28,46.3572696,-94.18687659999999,4.7
494,Brasserie Dieu Du Ciel,1141,3.99,45.5226996,-73.5934128,4.7
503,Brasserie Dunham,13905,3.52,45.13046500000001,-72.800523,4.4
508,Brasserie Gigi,3328,3.83,32.7810075,-79.9309397,4.4
538,Brasserie Saint Donat,11754,3.83,46.3207903,-74.2248781,4.7
