,index,Google Name,Latitude,Longitude,Google Rating,Yelp Name,Yelp Rating,Yelp Review Count,Average Rating
137,137,Seven Brides Brewing,45.014014,-122.7850439,4.2,Big River Grille & Brewing Works,2.5,318,3.35
139,139,Birrificio Scarampola,44.3700276,8.2012913,4.8,Magic Rock Tap,4.0,1,4.4
140,140,Harar Brewery Restaurant,9.3004921,42.1261807,2.7,Brauhaus Felsenkeller,4.0,16,3.35
141,141,Solvang Brewing Company,34.59631359999999,-120.1436389,3.9,Fur Bryghus,2.0,1,2.95
143,143,Mornington Peninsula Brewery,-38.2325552,145.0568149,4.2,Brauhaus Zum Rammelsberg,4.0,33,4.1
144,144,Outer Banks Brewing Station,36.0095201,-75.65924700000001,4.1,Blue Pants Brewery,4.0,26,4.05
145,145,Tenaya Creek Brewery,36.176621,-115.1534972,4.6,Bohemia Regent,4.5,3,4.55
146,146,La Taberna de La Muralla,23.1357056,-82.3502547,3.5,Creemore Springs Brewery,4.0,12,3.75
147,147,"Pivovar Nová Paka, A.s.",50.4873581,15.5241861,4.8,Dogfish Head Craft Brewery,4.5,271,4.65
151,151,. Landauer Brauhof,49.19901,8.11965,0,Bendito Malte,4.0,1,2.0
155,155,Croce di Malto,45.4338404,8.741110599999999,4.8,Mill Valley Beerworks,3.5,378,4.15
156,156,Hofbrauhaus Berchtesgaden GmbH,47.63447,13.00716,3.6,McCall Brewing Company,3.0,105,3.3
159,159,Craig Street Brew Pub,48.777183,-123.708402,4.4,Abe Erb Brewing,3.5,58,3.95
162,162,Three Heads Brewing,43.156232,-77.579702,4.6,Lost Duck Brewing Company,3.0,19,3.8
163,163,Alley Kat Brewing Company,53.49527819999999,-113.4881218,4,Kompania Piwowarska,5.0,1,4.5
165,165,Northshire Brewery,42.8847421,-73.2011236,4.7,Suomenlinnan Panimo,4.0,7,4.35
166,166,"Traditional brewery in Rakovník, Inc.",50.1062452,13.726886,4.7,Salt House,4.5,38,4.6
167,167,Restaurant-Terasa Trei Stejari,45.7938373,24.1605209,0,Yellowhammer Brewing,4.5,49,2.25
168,168,Grans Bryggeri AS,59.1295625,10.2419672,4.7,Ferguson Brewing Co,4.0,180,4.35
169,169,Odd Side Ales,43.0648821,-86.23255549999999,4.6,WAKE Brewing,4.5,3,4.55
172,172,Brouwerij West,33.727299,-118.280219,4.7,Boag's Centre for Beer Lovers,3.5,2,4.1
177,177,Petite Brasserie Ardennaise,49.7619508,4.7466102,3.2,Omer vander Ghinste,4.0,1,3.6
179,179,Master House,22.280621,114.155548,4.3,SweetWater Brewing Company,4.0,398,4.15
180,180,Frog Island Brewery,52.23610069999999,-0.908975,3.5,Hook Norton Brewery Visitor Centre,5.0,1,4.25
181,181,brasserie de clerck,49.93169820000001,2.9364601,5,Bristol Brewing Company,3.5,367,4.25
184,184,A / S Thisted Bryghus,56.9532211,8.6815271,4.9,Abbeydale Brewery,5.0,1,4.95
185,185,Rocky River Brewing Co,41.4608615,-81.8560749,4.5,West Virginia Brewing,5.0,1,4.75
