,index,Google Name,Latitude,Longitude,Google Rating,Yelp Name,Yelp Rating,Yelp Review Count,Average Rating
44,44,Historic Brewing Company,35.2183676,-111.5862777,4.1,Historic Brewing Company,4.5,62,4.3
46,46,Westbrook Brewing Company,32.8466697,-79.8767999,4.5,Westbrook Brewing Co,3.5,86,4.0
47,47,Mission Springs Brewing Company,49.1321832,-122.3416728,4,Mission Springs Brewing,3.0,47,3.5
48,48,Bryggeri Skovlyst ApS,55.76284709999999,12.3837931,4.1,Bryggeri Skovlyst,3.5,10,3.8
49,49,St. George Brewing Company,37.0998883,-76.39447969999999,4.6,St George Brewing Co,4.5,32,4.55
51,51,Climax Brewing Co,40.659725,-74.28300399999999,4.9,Climax Brewing Co,4.0,29,4.45
52,52,St. Stan's Brewing - Restaurant & Brick Oven Pizza Pub,37.6420181,-120.9999995,4.5,St. Stan's,4.0,45,4.25
54,54,Empyrean Brewing Co,40.8152364,-96.71080669999999,3.9,Kinkaider Brewing,4.5,2,4.2
56,56,Yards Brewing Company,39.9609712,-75.1469089,4.5,Yards Brewing Company,4.0,524,4.25
57,57,Altes Tramdepot Brauerei & Restaurant,46.9474933,7.459673500000001,4.1,Altes Tramdepot,4.0,97,4.05
58,58,Tap East,51.5441851,-0.008883799999999999,4.3,Crate Brewery,4.0,56,4.15
59,59,North End Tavern & Brewery,39.2874294,-81.53305540000001,4.5,North End Tavern & Brewery,4.0,82,4.25
63,63,Iron Springs Pub & Brewery,37.9859758,-122.5839888,4.3,Iron Springs Pub & Brewery,4.0,314,4.15
64,64,Shepherd Neame Brewery,51.3167244,0.8916246,4.4,Shepherd Neame,3.5,3,3.95
65,65,Bent River Brewing Company,41.5074806,-90.5667955,4.7,WAKE Brewing,4.5,3,4.6
67,67,Okanagan Spring Brewery,50.2616995,-119.2689322,3.8,Marten Brewing,4.0,10,3.9
68,68,The Pump Room,33.787346,-117.869176,4.4,Chapman Crafted Beer,4.5,101,4.45
69,69,Sail and Anchor,-32.056163,115.7486826,4.1,Little Creatures Next Door,3.5,21,3.8
71,71,Granville Island Brewing,49.270502,-123.135661,4.3,Granville Island Brewing,3.5,313,3.9
